Timestamp,Market Cap (USD),Coin
2024-02-19 00:00:00,1023586119011.2284,Bitcoin (BTC)
2024-02-20 00:00:00,1016146442771.5667,Bitcoin (BTC)
2024-02-21 00:00:00,1026424315285.75,Bitcoin (BTC)
2024-02-22 00:00:00,1018869881156.3213,Bitcoin (BTC)
2024-02-23 00:00:00,1007314397269.4122,Bitcoin (BTC)
2024-02-24 00:00:00,999139504635.63,Bitcoin (BTC)
2024-02-25 00:00:00,1012485917140.1924,Bitcoin (BTC)
2024-02-26 00:00:00,1016549456019.3263,Bitcoin (BTC)
2024-02-27 00:00:00,1071049856128.8474,Bitcoin (BTC)
2024-02-28 00:00:00,1118963733317.3013,Bitcoin (BTC)
2024-02-29 00:00:00,1225273849241.6978,Bitcoin (BTC)
2024-03-01 00:00:00,1206725326872.1362,Bitcoin (BTC)
2024-03-02 00:00:00,1227712629022.1812,Bitcoin (BTC)
2024-03-03 00:00:00,1219383305483.4985,Bitcoin (BTC)
2024-03-04 00:00:00,1236312176673.4497,Bitcoin (BTC)
2024-03-05 00:00:00,1333913436699.1726,Bitcoin (BTC)
2024-03-06 00:00:00,1264870242318.5977,Bitcoin (BTC)
2024-03-07 00:00:00,1297845751759.601,Bitcoin (BTC)
2024-03-08 00:00:00,1317508010581.0813,Bitcoin (BTC)
2024-03-09 00:00:00,1340971395884.519,Bitcoin (BTC)
2024-03-10 00:00:00,1346027264110.4956,Bitcoin (BTC)
2024-03-11 00:00:00,1357390358031.5388,Bitcoin (BTC)
2024-03-12 00:00:00,1417772589113.9521,Bitcoin (BTC)
2024-03-13 00:00:00,1403692914139.1924,Bitcoin (BTC)
2024-03-14 00:00:00,1436631290571.5388,Bitcoin (BTC)
2024-03-15 00:00:00,1403843488135.24,Bitcoin (BTC)
2024-03-16 00:00:00,1367669237527.8738,Bitcoin (BTC)
2024-03-17 00:00:00,1282404282863.459,Bitcoin (BTC)
2024-03-18 00:00:00,1344508983079.8567,Bitcoin (BTC)
2024-03-19 00:00:00,1331771923948.0378,Bitcoin (BTC)
2024-03-20 00:00:00,1223867418062.399,Bitcoin (BTC)
2024-03-21 00:00:00,1332594162507.5205,Bitcoin (BTC)
2024-03-22 00:00:00,1287348061971.4202,Bitcoin (BTC)
2024-03-23 00:00:00,1247366367469.2778,Bitcoin (BTC)
2024-03-24 00:00:00,1264722355270.5166,Bitcoin (BTC)
2024-03-25 00:00:00,1323456466317.511,Bitcoin (BTC)
2024-03-26 00:00:00,1371797489739.3416,Bitcoin (BTC)
2024-03-27 00:00:00,1375728580463.2524,Bitcoin (BTC)
2024-03-28 00:00:00,1360261687784.1018,Bitcoin (BTC)
2024-03-29 00:00:00,1390869723348.0437,Bitcoin (BTC)
2024-03-30 00:00:00,1374646886107.8396,Bitcoin (BTC)
2024-03-31 00:00:00,1370247487960.0945,Bitcoin (BTC)
